Name;Character Like;Personality Like;Effect;DLC
Apple Cake;Ringotchi;Spoiled personalities;+5 Happiness;Very Berry Land
Strawberry Rice Cake;Ichigotchi;Shy personalities;+5 Happiness;Very Berry Land
Patissier Cake;Patitchi;Docile personalities;+5 Happiness;Very Berry Land
Fruit Candy;Tanghulutchi;Mysterious personalities;+5 Happiness;Very Berry Land
Drum Popcorn;Drumcrubitchi;Energetic personalities;+5 Happiness;LoveMelo ? Concert
? Sachertorte;Melodytchi;Energetic personalities;+5 Happiness;LoveMelo ? Concert
Lovely Frappe;Lovelitchi;Spoiled personalities;+5 Happiness;LoveMelo ? Concert
Music Donut;;Energetic personalities;+5 Happiness;LoveMelo ? Concert
Boots-Glass Tea;Boots Brothers;Docile personalities;+5 Happiness;Tamamori Fashion Show?
Puff Macaron;Coffretchi;;+5 Happiness;Tamamori Fashion Show?
Top Hat �clair;Mystartchi;Mysterious personalities;+5 Happiness;Tamamori Fashion Show?
Sunglasses Chocolate;;Energetic personalities;+5 Happiness;Tamamori Fashion Show?
Flower Sherbet;Usahana Memetchi;Spoiled personalities;+5 Happiness;Sanrio Characters
Melody Strawberry;MyMelo Lovelitchi;Spoiled personalities;+5 Happiness;Sanrio Characters
Cotton Cogimyun;Cogimyun Woopatchi;Mysterious personalities;+5 Happiness;Sanrio Characters
Star Pancake;Little Unimarutchi;Mysterious personalities;+5 Happiness;Sanrio Characters
White Chocolate;;Shy personalities;+5 Happiness;Angel Festival
Unicorn Parfait;Unimarucorn;Mysterious personalities;+5 Happiness;Angel Festival
Rain Candy;Flowerdite;Docile personalities;+5 Happiness;Angel Festival
Pegasus Cotton Candy;Pegasustchi;Shy personalities;+5 Happiness;Angel Festival
Black Chocolate;;Energetic personalities;+5 Happiness;Monster Carnival
Slimy Jelly;Slimypatchi;Mysterious personalities;+5 Happiness;Monster Carnival
Eye Ball Jelly;Giveuptchi;Docile personalities;+5 Happiness;Monster Carnival
Snake Churros;Meduupa;Shy personalities;+5 Happiness;Monster Carnival
Caramelized Apple;Milkyukihime;Spoiled personalities;+5 Happiness;Fairy Tale Library
Whale Jelly;Mamecchio;Docile personalities;+5 Happiness;Fairy Tale Library
Momotaro Compote;;Energetic personalities;+5 Happiness;Fairy Tale Library
Pumpkin Pudding;Pyonderella;Spoiled personalities;+5 Happiness;Fairy Tale Library
Tanuki Cake;;Docile personalities;+5 Happiness;PokoPea Land
Poko Latte;Tanuki Ninja;Docile personalities;+5 Happiness;PokoPea Land
Ramune;Bnn-hairtchi;Docile personalities;+5 Happiness;PokoPea Land
Beetle Parfait;Gachikoi-P;Mysterious personalities;+5 Happiness;PokoPea Land
Soda Tasters;Chancho;Mysterious personalities;+5 Happiness;PokoPea Land
Peanuts-kun Jellies;Peanutskun;;+5 Happiness;PokoPea Land
School Bus Cookie;;;+5 Happiness;DoriTama School
Tape Cake;Tapepentchi;;+5 Happiness;DoriTama School
Basketball Cookie;Octpasketchi;Energetic personalities;+5 Happiness;DoriTama School
DoriTama Cake;;Docile personalities;+5 Happiness;DoriTama School
